gbifID,decimalLatitude,decimalLongitude,year,month,day,datetime,occurrence,season_num
1988169786.0,41.9999188,-123.4998739,1992.0,7.0,22.0,1992-07-22,1,3.0
4068862504.0,44.8636053,-111.334691,2006.0,1.0,1.0,2006-01-01,1,1.0
,44.12688726030899,-121.60187860320842,1982.0,9.0,27.0,1982-09-27,1,
,43.358764643107584,-111.53869034123142,1985.0,8.0,24.0,1985-08-24,1,
,43.620285833508845,-113.94806472097065,1994.0,3.0,20.0,1994-03-20,1,
,43.03462424939319,-116.05657152780782,2002.0,12.0,14.0,2002-12-14,1,
,42.20034300270349,-114.71662678179864,2000.0,6.0,27.0,2000-06-27,1,
,42.00268567030341,-111.42943880572815,1984.0,9.0,14.0,1984-09-14,1,
4852681329.0,45.55281,-121.83361,2016.0,8.0,13.0,2016-08-13,1,3.0
,42.16495206258925,-116.1089796566656,2011.0,10.0,19.0,2011-10-19,1,
,43.33061909229975,-111.93426047687673,1995.0,9.0,4.0,1995-09-04,1,
,44.135615035410346,-114.88604148463664,1986.0,1.0,28.0,1986-01-28,1,
,43.08085838767921,-117.11611593124249,2011.0,11.0,4.0,2011-11-04,1,
,42.16571682417382,-111.65395991340927,2008.0,11.0,1.0,2008-11-01,1,
1302582692.0,43.864547,-114.4407771,1981.0,6.0,18.0,1981-06-18,1,3.0
,42.35511879863053,-117.91302713261288,2013.0,4.0,27.0,2013-04-27,1,
